TIME|DIRECTION|ORDERID|SYMBOL|ROUTE||QUANTITY|PRICE
2012-05-29 11:28:26|S|10659|IBM|ARCA||400|195.84
2012-05-29 11:29:15|S|10771|BRK/B|ARCA||800|77.43
2012-05-29 11:29:27|B|11187|MSFT|ARCA||1500|26.44
2012-05-29 11:30:57|B|11373|MS|ARCA||2300|12.96
2012-05-29 11:31:13|B|11644|BRK/B|ARCA||1000|79.3
2012-05-29 11:31:14|B|11791|LNKD|ARCA||400|98.15
2012-05-29 11:31:22|S|11843|AAPL|ARCA||200|548.93
2012-05-29 11:31:23|S|11924|LNKD|ARCA||700|79.63
2012-05-29 11:32:21|S|12241|FB|ARCA||2600|27.72
2012-05-29 11:33:11|B|12427|MSFT|ARCA||1100|29.36
2012-05-29 11:33:17|B|12698|IBM|ARCA||500|187.07
2012-05-29 11:33:24|B|12750|ZNGA|ARCA||13800|6.04
2012-05-29 11:33:37|S|13166|MS|ARCA||4100|13.45
2012-05-29 11:33:44|S|13635|BRK/B|ARCA||1100|77.89
2012-05-29 11:33:46|B|13906|ZNGA|ARCA||15700|5.37
2012-05-29 11:34:18|B|14375|MS|ARCA||1500|12.54
2012-05-29 11:34:57|B|14740|BRK/B|ARCA||1100|77.41
2012-05-29 11:35:00|B|15057|LNKD|ARCA||400|97.38
2012-05-29 11:35:25|S|15638|LNKD|ARCA||300|97.22
2012-05-29 11:35:27|B|16219|IBM|ARCA||400|192.8
2012-05-29 11:35:39|S|16331|IBM|ARCA||600|179.52
2012-05-29 11:36:20|B|16517|BRK/B|ARCA||1200|78.9
2012-05-29 11:36:21|B|16986|MS|ARCA||1800|13.09
2012-05-29 11:36:46|S|16997|LNKD|ARCA||900|88.3
2012-05-29 11:37:50|B|17109|GOOG|ARCA||200|566.68
2012-05-29 11:38:04|B|17336|MS|ARCA||2900|12.7
2012-05-29 11:38:19|B|17917|IBM|ARCA||400|195.85
2012-05-29 11:38:25|B|18498|LNKD|ARCA||400|98.25
2012-05-29 11:38:34|B|18914|MS|ARCA||8300|10.76
2012-05-29 11:38:36|B|19026|IBM|ARCA||300|193.98
2012-05-29 11:38:37|S|19212|IBM|ARCA||300|188.04
2012-05-29 11:38:53|B|19293|AAPL|ARCA||300|522.23
2012-05-29 11:38:54|S|19304|LNKD|ARCA||1100|89.31
2012-05-29 11:38:55|B|19885|FB|ARCA||900|27.81
2012-05-29 11:38:58|B|20156|BRK/B|ARCA||500|78.67
2012-05-29 11:39:13|B|20473|AAPL|ARCA||300|568.65
2012-05-29 11:40:01|B|20525|GOOG|ARCA||300|555.84
2012-05-29 11:40:05|S|20554|IBM|ARCA||700|162.49
2012-05-29 11:41:01|B|20635|GOOG|ARCA||200|490.08
2012-05-29 11:42:32|S|20646|AAPL|ARCA||200|564.05
2012-05-29 11:42:47|S|20727|FB|ARCA||900|27.08
2012-05-29 11:43:26|B|21196|LNKD|ARCA||600|82.9
2012-05-29 11:43:35|B|21343|ZNGA|ARCA||6800|6.11
2012-05-29 11:43:55|B|21354|MS|ARCA||4600|13.45
2012-05-29 11:43:59|B|21719|ZNGA|ARCA||11200|5.21
2012-05-29 11:44:01|S|21990|FB|ARCA||3500|25.53
2012-05-29 11:44:19|S|22176|IBM|ARCA||200|180.09
2012-05-29 11:44:20|B|22205|ZNGA|ARCA||15200|6.02
2012-05-29 11:44:32|B|22476|GOOG|ARCA||200|477.96
2012-05-29 11:45:12|B|22557|LNKD|ARCA||1100|97.04
2012-05-29 11:45:13|B|22874|IBM|ARCA||300|179.18
2012-05-29 11:45:16|B|23021|IBM|ARCA||400|194.41
2012-05-29 11:45:18|S|23602|IBM|ARCA||600|195.49
2012-05-29 11:45:21|B|23919|AAPL|ARCA||100|564.53
2012-05-29 11:45:22|S|24105|IBM|ARCA||500|195.85
2012-05-29 11:45:23|B|24422|GOOG|ARCA||200|538.63
2012-05-29 11:45:38|S|24451|GOOG|ARCA||100|492.19
2012-05-29 11:46:01|B|25032|FB|ARCA||500|27.48
2012-05-29 11:46:18|B|25043|MS|ARCA||6300|13.45
2012-05-29 11:46:53|S|25408|MSFT|ARCA||3000|26.86
2012-05-29 11:46:54|S|25989|BRK/B|ARCA||700|79.28
2012-05-29 11:47:39|B|26070|MSFT|ARCA||1800|27.61
2012-05-29 11:48:01|S|26256|IBM|ARCA||600|195.36
2012-05-29 11:49:04|S|26527|ZNGA|ARCA||8800|5.98
2012-05-29 11:49:09|S|26674|ZNGA|ARCA||4800|6.11
2012-05-29 11:49:10|B|27090|LNKD|ARCA||500|95.81
2012-05-29 11:49:28|B|27276|ZNGA|ARCA||17900|5.05
2012-05-29 11:49:31|B|27641|LNKD|ARCA||700|97.91
2012-05-29 11:49:32|S|27958|MS|ARCA||5200|13.05
2012-05-29 11:50:04|S|27987|MS|ARCA||3200|12.46
2012-05-29 11:50:13|S|28099|MS|ARCA||8400|10.9
2012-05-29 11:50:32|B|28464|ZNGA|ARCA||15700|6.1
2012-05-29 11:50:35|B|28691|MSFT|ARCA||1500|25.85
2012-05-29 11:52:05|S|28962|AAPL|ARCA||100|556.09
2012-05-29 11:52:22|B|29486|IBM|ARCA||600|185.09
2012-05-29 11:52:26|B|29598|FB|ARCA||1600|28.28
2012-05-29 11:52:30|B|30122|BRK/B|ARCA||1300|63.61
2012-05-29 11:52:42|B|30234|MSFT|ARCA||1500|29.36
2012-05-29 11:52:43|S|30815|MSFT|ARCA||800|28.34
2012-05-29 11:52:44|B|30867|GOOG|ARCA||300|530.9
2012-05-29 11:52:45|S|30878|GOOG|ARCA||300|590.58
2012-05-29 11:53:59|S|31347|LNKD|ARCA||800|94.5
2012-05-29 11:54:46|B|31928|FB|ARCA||3500|28.28
2012-05-29 11:54:47|B|32293|FB|ARCA||3400|27.7
2012-05-29 11:55:37|B|32440|BRK/B|ARCA||1300|78.75
2012-05-29 11:55:39|B|32711|GOOG|ARCA||200|591.02
2012-05-29 11:55:44|B|32858|GOOG|ARCA||100|589.79
2012-05-29 11:57:08|S|33439|ZNGA|ARCA||3100|6.09
2012-05-29 11:57:44|B|33491|LNKD|ARCA||600|97.43
2012-05-29 11:57:52|B|33638|AAPL|ARCA||200|503.08
2012-05-29 11:57:53|B|33649|MSFT|ARCA||1900|28.9
2012-05-29 11:57:54|B|33920|LNKD|ARCA||1200|87.58
2012-05-29 11:57:55|B|33931|MS|ARCA||6500|12.25
2012-05-29 11:57:56|S|34296|MSFT|ARCA||700|29.36
2012-05-29 11:59:22|S|34567|GOOG|ARCA||200|521.99
2012-05-29 11:59:23|B|35091|ZNGA|ARCA||3500|6.12
2012-05-29 11:59:51|B|35277|BRK/B|ARCA||1000|79.14
2012-05-29 11:59:52|S|35548|LNKD|ARCA||800|95.6
2012-05-29 12:00:19|S|35559|MSFT|ARCA||2000|29.15
2012-05-29 12:00:20|B|35611|LNKD|ARCA||200|96.12
2012-05-29 12:01:26|B|35640|MS|ARCA||7800|12.1
2012-05-29 12:01:27|S|36005|AAPL|ARCA||200|542.72
2012-05-29 12:02:08|B|36191|MS|ARCA||7000|11.24
2012-05-29 12:02:20|S|36462|GOOG|ARCA||100|580.69
2012-05-29 12:02:54|B|36827|GOOG|ARCA||100|502.78
2012-05-29 12:03:12|S|37144|MSFT|ARCA||1800|29.34
2012-05-29 12:03:25|B|37668|MSFT|ARCA||1200|28.73
2012-05-29 12:03:53|B|38192|LNKD|ARCA||1000|97.01
2012-05-29 12:03:55|S|38608|GOOG|ARCA||300|586.6
2012-05-29 12:03:56|S|38660|MS|ARCA||5800|13.4
2012-05-29 12:04:06|B|38689|MS|ARCA||5700|12.77
2012-05-29 12:04:11|S|38836|AAPL|ARCA||200|569.93
2012-05-29 12:04:18|B|39201|GOOG|ARCA||300|578.11
2012-05-29 12:04:45|B|39518|LNKD|ARCA||700|96.56
2012-05-29 12:04:54|S|39630|LNKD|ARCA||500|98.25
2012-05-29 12:04:55|S|40154|AAPL|ARCA||300|541.6
2012-05-29 12:04:56|S|40206|AAPL|ARCA||200|513.78
2012-05-29 12:04:59|S|40787|FB|ARCA||900|26.61
2012-05-29 12:05:02|S|41014|AAPL|ARCA||200|465.59
2012-05-29 12:05:09|B|41379|BRK/B|ARCA||1100|78.81
2012-05-29 12:05:37|B|41606|BRK/B|ARCA||500|76.95
2012-05-29 12:05:38|S|42022|IBM|ARCA||600|194.66
2012-05-29 12:05:42|S|42134|AAPL|ARCA||200|534.31
2012-05-29 12:06:24|B|42603|ZNGA|ARCA||16300|6.12
2012-05-29 12:06:40|S|42968|MSFT|ARCA||2300|28.7
2012-05-29 12:07:09|S|43020|LNKD|ARCA||400|98.24
2012-05-29 12:07:10|B|43049|MSFT|ARCA||3400|29.35
2012-05-29 12:07:11|B|43276|AAPL|ARCA||200|567.59
2012-05-29 12:07:16|B|43462|GOOG|ARCA||300|506.6
2012-05-29 12:07:36|B|43878|IBM|ARCA||200|194.76
2012-05-29 12:07:59|S|44025|MS|ARCA||1400|13.45
2012-05-29 12:08:29|B|44296|LNKD|ARCA||600|97.49
2012-05-29 12:08:38|B|44307|AAPL|ARCA||200|525.1
2012-05-29 12:09:04|S|44534|MS|ARCA||5500|13.41
2012-05-29 12:09:05|S|44681|AAPL|ARCA||200|552.94
2012-05-29 12:09:14|S|44867|IBM|ARCA||700|169.38
2012-05-29 12:09:20|B|44919|MS|ARCA||8200|12.12
2012-05-29 12:09:30|B|44971|LNKD|ARCA||700|86.25
2012-05-29 12:09:33|B|45118|GOOG|ARCA||200|591.07
2012-05-29 12:09:34|B|45534|LNKD|ARCA||200|94.31
2012-05-29 12:10:48|S|45950|GOOG|ARCA||100|576.74
2012-05-29 12:10:49|B|46136|MSFT|ARCA||3300|26.87
2012-05-29 12:11:02|B|46605|LNKD|ARCA||1200|88.22
2012-05-29 12:11:03|S|46717|GOOG|ARCA||100|580.63
2012-05-29 12:11:13|B|47133|AAPL|ARCA||200|548.12
2012-05-29 12:11:18|S|47319|BRK/B|ARCA||1100|79.26
2012-05-29 12:11:19|B|47371|AAPL|ARCA||100|538.64
2012-05-29 12:11:50|S|47452|LNKD|ARCA||500|94.55
2012-05-29 12:11:54|S|47769|ZNGA|ARCA||13100|6.07
2012-05-29 12:12:23|B|47955|AAPL|ARCA||200|507.58
2012-05-29 12:12:24|S|48036|AAPL|ARCA||300|558.73
2012-05-29 12:12:28|B|48065|LNKD|ARCA||700|98.1
2012-05-29 12:12:36|S|48481|AAPL|ARCA||200|539.58
2012-05-29 12:12:37|S|48492|MSFT|ARCA||2000|29.35
2012-05-29 12:12:46|B|49073|BRK/B|ARCA||1000|78.98
2012-05-29 12:13:14|S|49259|GOOG|ARCA||200|591.08
2012-05-29 12:13:16|B|49406|IBM|ARCA||200|191.31
2012-05-29 12:14:03|S|49435|GOOG|ARCA||200|590.48
2012-05-29 12:14:12|S|49851|ZNGA|ARCA||6000|5.64
2012-05-29 12:14:15|S|50037|MS|ARCA||5100|12.87
2012-05-29 12:14:16|B|50223|FB|ARCA||3500|28.8
2012-05-29 12:15:05|B|50370|MSFT|ARCA||2200|29.35
2012-05-29 12:15:17|B|50381|ZNGA|ARCA||4700|6.12
2012-05-29 12:15:24|B|50797|FB|ARCA||2700|28.51
2012-05-29 12:16:24|B|51114|MSFT|ARCA||2400|25.66
2012-05-29 12:17:04|S|51166|BRK/B|ARCA||400|78.7
2012-05-29 12:17:49|B|51218|ZNGA|ARCA||9400|5.47
2012-05-29 12:18:16|S|51445|ZNGA|ARCA||2700|6.07
2012-05-29 12:18:21|S|51456|IBM|ARCA||500|179.87
2012-05-29 12:19:27|S|51603|MS|ARCA||4000|12.01
2012-05-29 12:19:43|B|52127|FB|ARCA||1700|28.57
2012-05-29 12:19:44|S|52651|LNKD|ARCA||900|98.18
2012-05-29 12:20:24|S|53232|LNKD|ARCA||200|98.18
2012-05-29 12:20:27|S|53243|FB|ARCA||1800|28.73
2012-05-29 12:20:29|B|53324|GOOG|ARCA||200|548.11
2012-05-29 12:20:32|B|53848|GOOG|ARCA||200|591.04
2012-05-29 12:20:35|B|54317|ZNGA|ARCA||7200|6.07
2012-05-29 12:21:17|B|54328|IBM|ARCA||200|193.41
2012-05-29 12:21:46|S|54357|ZNGA|ARCA||5000|5.7
2012-05-29 12:22:49|B|54504|AAPL|ARCA||200|568.64
2012-05-29 12:23:52|B|54973|FB|ARCA||1600|28.8
2012-05-29 12:23:53|B|55554|AAPL|ARCA||200|567.65
2012-05-29 12:23:55|S|55565|AAPL|ARCA||100|542.64
2012-05-29 12:23:56|B|55836|MSFT|ARCA||900|24.37
2012-05-29 12:24:26|B|55888|LNKD|ARCA||300|95.8
2012-05-29 12:24:37|B|56357|GOOG|ARCA||200|586.66
2012-05-29 12:24:51|B|56386|IBM|ARCA||200|170
2012-05-29 12:25:09|B|56533|ZNGA|ARCA||14500|5.85
2012-05-29 12:26:13|S|56949|MSFT|ARCA||1800|29.12
2012-05-29 12:26:14|B|57266|BRK/B|ARCA||1100|79.3
2012-05-29 12:26:26|S|57318|MS|ARCA||3200|12.91
2012-05-29 12:26:37|B|57370|ZNGA|ARCA||14000|5.98
2012-05-29 12:26:42|S|57735|IBM|ARCA||500|178.17
2012-05-29 12:27:05|B|58151|AAPL|ARCA||300|461.73
2012-05-29 12:28:40|S|58232|MS|ARCA||6800|12.94
2012-05-29 12:28:48|B|58418|ZNGA|ARCA||6800|6.1
2012-05-29 12:28:53|S|58499|LNKD|ARCA||1100|98.24
2012-05-29 12:29:26|B|59023|LNKD|ARCA||900|94.95
2012-05-29 12:29:29|B|59170|MS|ARCA||6900|12.72
2012-05-29 12:29:44|B|59251|ZNGA|ARCA||9900|5.99
2012-05-29 12:29:45|B|59262|BRK/B|ARCA||600|79.18
2012-05-29 12:29:48|B|59627|FB|ARCA||1600|28.78
2012-05-29 12:29:59|B|59739|LNKD|ARCA||700|92.14
2012-05-29 12:30:40|B|60320|LNKD|ARCA||1100|97.15
2012-05-29 12:30:41|B|60372|MS|ARCA||6100|12.43
2012-05-29 12:30:42|S|60788|FB|ARCA||1800|28.73
2012-05-29 12:30:43|B|61312|ZNGA|ARCA||6700|5.78
2012-05-29 12:31:08|S|61364|IBM|ARCA||600|185.97
2012-05-29 12:31:11|S|61635|IBM|ARCA||300|195.85
2012-05-29 12:31:45|B|61747|IBM|ARCA||500|169.53
2012-05-29 12:31:53|S|62112|LNKD|ARCA||400|96.77
2012-05-29 12:31:54|B|62123|MS|ARCA||4100|13.43
2012-05-29 12:31:55|S|62647|ZNGA|ARCA||13900|6.07
2012-05-29 12:32:04|B|63228|FB|ARCA||900|28.62
2012-05-29 12:32:14|B|63280|MSFT|ARCA||1900|29.36
2012-05-29 12:32:20|S|63361|IBM|ARCA||200|195.85
2012-05-29 12:33:51|S|63547|MS|ARCA||5100|13.16
2012-05-29 12:33:52|B|63558|AAPL|ARCA||100|568.94
2012-05-29 12:34:35|B|63705|IBM|ARCA||200|157.43
2012-05-29 12:34:51|B|64121|GOOG|ARCA||200|576.34
2012-05-29 12:34:52|B|64590|AAPL|ARCA||100|564.43
2012-05-29 12:34:53|B|65006|BRK/B|ARCA||700|79.22
2012-05-29 12:34:54|S|65475|MS|ARCA||3400|13.43
2012-05-29 12:35:00|B|65587|ZNGA|ARCA||9100|5.98
2012-05-29 12:35:27|B|66056|IBM|ARCA||400|195.84
2012-05-29 12:35:32|S|66327|GOOG|ARCA||300|546.05
2012-05-29 12:35:38|B|66598|LNKD|ARCA||700|98.24
2012-05-29 12:35:39|B|67122|LNKD|ARCA||300|94.54
2012-05-29 12:36:16|S|67703|AAPL|ARCA||200|472.45
2012-05-29 12:36:58|S|68284|IBM|ARCA||200|195.84
2012-05-29 12:37:38|B|68295|BRK/B|ARCA||1200|72.25
2012-05-29 12:38:30|S|68660|MSFT|ARCA||1300|27.92
2012-05-29 12:38:43|B|68807|GOOG|ARCA||200|591.08
2012-05-29 12:38:55|S|69078|IBM|ARCA||500|158.06
2012-05-29 12:38:58|B|69305|LNKD|ARCA||1000|98.1
2012-05-29 12:39:07|S|69532|MS|ARCA||5700|12.07
2012-05-29 12:39:08|B|70056|BRK/B|ARCA||1000|74.67
2012-05-29 12:39:09|B|70137|MSFT|ARCA||3000|27.39
2012-05-29 12:39:10|S|70166|IBM|ARCA||300|195.83
2012-05-29 12:39:15|B|70313|ZNGA|ARCA||15300|5.67
2012-05-29 12:40:11|S|70540|GOOG|ARCA||200|509.29
2012-05-29 12:40:59|B|70569|GOOG|ARCA||200|504.59
2012-05-29 12:41:37|S|70650|GOOG|ARCA||100|589.62
2012-05-29 12:42:38|B|70762|MSFT|ARCA||2900|27.37
2012-05-29 12:42:55|S|70989|AAPL|ARCA||300|558.05
2012-05-29 12:43:03|B|71458|IBM|ARCA||300|195.27
2012-05-29 12:43:08|B|71823|IBM|ARCA||500|193.35
2012-05-29 12:43:36|B|71970|MS|ARCA||4100|13.44
2012-05-29 12:44:21|S|72156|LNKD|ARCA||1100|85.88
2012-05-29 12:45:50|S|72208|ZNGA|ARCA||10600|6.02
2012-05-29 12:45:53|B|72320|AAPL|ARCA||300|511.74
2012-05-29 12:46:10|B|72372|MS|ARCA||8200|11.41
2012-05-29 12:46:14|B|72896|ZNGA|ARCA||2800|5.18
2012-05-29 12:47:54|B|73420|IBM|ARCA||200|191.15
2012-05-29 12:47:59|S|73532|BRK/B|ARCA||1200|79.29
2012-05-29 12:48:00|B|73561|AAPL|ARCA||200|565.78
2012-05-29 12:48:07|B|73673|BRK/B|ARCA||500|79.3
2012-05-29 12:48:23|B|73944|MSFT|ARCA||2100|27.67
2012-05-29 12:48:37|S|74056|ZNGA|ARCA||12700|5.22
2012-05-29 12:48:51|B|74472|IBM|ARCA||500|189.76
2012-05-29 12:49:20|S|74837|MS|ARCA||7000|13.42
2012-05-29 12:49:24|S|75418|AAPL|ARCA||200|540.85
2012-05-29 12:49:28|S|75999|ZNGA|ARCA||16200|5.54
2012-05-29 12:50:06|B|76080|LNKD|ARCA||900|98.25
2012-05-29 12:51:08|S|76307|GOOG|ARCA||200|561.62
2012-05-29 12:51:10|S|76776|LNKD|ARCA||600|97.29
2012-05-29 12:51:17|S|77192|GOOG|ARCA||200|591.07
2012-05-29 12:51:21|B|77557|GOOG|ARCA||300|560.32
2012-05-29 12:51:47|B|77609|LNKD|ARCA||900|86.75
2012-05-29 12:51:49|B|78133|FB|ARCA||2800|28.78
2012-05-29 12:52:54|B|78657|BRK/B|ARCA||300|69.81
2012-05-29 12:53:30|B|78843|MS|ARCA||5100|13.36
2012-05-29 12:54:16|S|78955|BRK/B|ARCA||300|79.22
2012-05-29 12:54:31|B|79182|BRK/B|ARCA||300|71.07
2012-05-29 12:55:37|B|79706|ZNGA|ARCA||15600|6.12
2012-05-29 12:55:43|B|79787|MS|ARCA||1600|13
2012-05-29 12:55:46|B|80014|ZNGA|ARCA||14600|6.12
2012-05-29 12:55:50|S|80025|FB|ARCA||2200|25.42
2012-05-29 12:55:52|B|80077|BRK/B|ARCA||200|76.49
2012-05-29 12:57:05|B|80348|IBM|ARCA||400|195.81
2012-05-29 12:57:07|S|80872|FB|ARCA||2100|23.8
2012-05-29 12:57:30|B|80953|LNKD|ARCA||900|98.25
2012-05-29 12:57:34|S|81005|FB|ARCA||1200|28.61
2012-05-29 12:57:53|S|81421|MSFT|ARCA||2400|29.23
2012-05-29 12:57:54|S|81837|LNKD|ARCA||1100|78.63
2012-05-29 12:58:28|B|82154|ZNGA|ARCA||3800|6.01
2012-05-29 12:59:42|B|82301|IBM|ARCA||300|192.75
2012-05-29 12:59:47|S|82618|AAPL|ARCA||200|531.57
2012-05-29 13:01:05|B|82983|GOOG|ARCA||100|591.08
2012-05-29 13:01:21|S|83169|ZNGA|ARCA||13500|6.1
2012-05-29 13:01:22|B|83250|MS|ARCA||3800|10.81
2012-05-29 13:02:08|B|83831|GOOG|ARCA||100|541.42
2012-05-29 13:02:43|B|84247|BRK/B|ARCA||1400|77.5
2012-05-29 13:03:42|B|84564|IBM|ARCA||600|195.84
2012-05-29 13:03:43|S|84835|AAPL|ARCA||200|567.54
2012-05-29 13:03:44|S|84846|AAPL|ARCA||200|480.54
2012-05-29 13:05:15|S|84875|GOOG|ARCA||200|573.75
2012-05-29 13:05:19|S|84886|FB|ARCA||2400|28.45
2012-05-29 13:05:20|B|85033|ZNGA|ARCA||15000|5.38
2012-05-29 13:05:23|S|85044|IBM|ARCA||200|195.84
2012-05-29 13:05:56|S|85315|ZNGA|ARCA||15400|6
2012-05-29 13:06:23|S|85731|AAPL|ARCA||200|480
2012-05-29 13:06:36|S|85812|AAPL|ARCA||200|569.38
2012-05-29 13:06:43|B|86083|ZNGA|ARCA||10700|6.12
2012-05-29 13:06:44|B|86354|IBM|ARCA||500|187.83
2012-05-29 13:06:49|B|86406|AAPL|ARCA||300|523.64
2012-05-29 13:06:52|B|86822|LNKD|ARCA||200|97.84
2012-05-29 13:06:55|S|86934|IBM|ARCA||200|195.8
2012-05-29 13:06:56|B|86945|MSFT|ARCA||2400|29.3
2012-05-29 13:07:11|S|87262|LNKD|ARCA||300|97.72
2012-05-29 13:08:36|B|87533|FB|ARCA||500|27.2
2012-05-29 13:08:37|B|87760|BRK/B|ARCA||500|77.03
2012-05-29 13:08:44|B|88341|IBM|ARCA||400|195.38
2012-05-29 13:08:53|B|88370|MSFT|ARCA||500|27.41
2012-05-29 13:08:57|S|88422|ZNGA|ARCA||11900|6.12
2012-05-29 13:09:10|S|88451|ZNGA|ARCA||12600|5.78
2012-05-29 13:09:44|B|89032|FB|ARCA||1800|27.73
2012-05-29 13:09:45|S|89303|IBM|ARCA||200|188.84
2012-05-29 13:09:46|S|89620|BRK/B|ARCA||500|79.3
2012-05-29 13:09:50|S|89937|IBM|ARCA||300|187.56
2012-05-29 13:09:51|B|90084|MS|ARCA||6500|12.28
2012-05-29 13:09:52|S|90113|MSFT|ARCA||3300|29.06
2012-05-29 13:11:06|S|90529|AAPL|ARCA||200|558.89
2012-05-29 13:11:56|S|91110|MS|ARCA||1000|13.45
2012-05-29 13:12:20|B|91579|MS|ARCA||1400|11.75
2012-05-29 13:12:21|S|91944|BRK/B|ARCA||700|79.28
2012-05-29 13:12:59|S|92215|MSFT|ARCA||3800|25.32
2012-05-29 13:13:18|B|92684|AAPL|ARCA||200|541.9
2012-05-29 13:13:32|B|93049|MSFT|ARCA||600|29.27
2012-05-29 13:14:05|S|93130|MS|ARCA||4000|11.11
2012-05-29 13:15:38|S|93401|BRK/B|ARCA||300|79.3
2012-05-29 13:15:52|S|93870|ZNGA|ARCA||11000|6.12
2012-05-29 13:16:29|S|94235|IBM|ARCA||200|195.85
2012-05-29 13:16:30|S|94347|MS|ARCA||3900|11.37
2012-05-29 13:16:31|B|94664|MS|ARCA||6800|13.27
2012-05-29 13:16:35|B|94850|MS|ARCA||6600|13.45
2012-05-29 13:16:42|B|94861|LNKD|ARCA||300|97.49
2012-05-29 13:16:43|S|95088|LNKD|ARCA||1100|91.83
2012-05-29 13:16:44|B|95453|BRK/B|ARCA||1400|76.9
2012-05-29 13:16:45|B|95818|GOOG|ARCA||200|591.08
2012-05-29 13:16:49|S|96287|BRK/B|ARCA||600|71.55
2012-05-29 13:17:26|B|96868|MS|ARCA||2900|13.45
2012-05-29 13:17:33|S|97185|AAPL|ARCA||200|569.93
2012-05-29 13:17:42|S|97237|MS|ARCA||4700|11.5
2012-05-29 13:18:51|B|97464|MS|ARCA||5200|13.2
2012-05-29 13:19:38|B|98045|AAPL|ARCA||200|526.54
2012-05-29 13:19:43|B|98461|ZNGA|ARCA||6700|6.08
2012-05-29 13:20:18|B|98573|MSFT|ARCA||1100|28.92
2012-05-29 13:20:42|S|98890|IBM|ARCA||500|194.84
2012-05-29 13:21:29|S|98942|MSFT|ARCA||2400|28.97
2012-05-29 13:22:07|B|99259|BRK/B|ARCA||1000|76.17
2012-05-29 13:22:11|B|99445|ZNGA|ARCA||8400|6.11
2012-05-29 13:22:46|S|100026|AAPL|ARCA||200|538.62
2012-05-29 13:24:13|B|100607|IBM|ARCA||300|189.06
2012-05-29 13:24:22|B|101023|GOOG|ARCA||200|497.62
2012-05-29 13:24:31|B|101250|AAPL|ARCA||200|508.87
2012-05-29 13:24:32|B|101302|MSFT|ARCA||800|27.66
2012-05-29 13:24:35|S|101529|ZNGA|ARCA||4500|5.97
2012-05-29 13:24:36|S|101540|FB|ARCA||1700|27.55
2012-05-29 13:26:03|S|102009|MS|ARCA||3800|13.25
2012-05-29 13:26:06|B|102280|BRK/B|ARCA||700|70.52
2012-05-29 13:26:15|B|102427|GOOG|ARCA||200|490.29
2012-05-29 13:26:16|B|102654|MSFT|ARCA||1600|29.35
2012-05-29 13:26:19|S|102925|ZNGA|ARCA||16500|5.56
2012-05-29 13:26:38|S|103394|FB|ARCA||600|28.8
2012-05-29 13:26:50|S|103423|MSFT|ARCA||3200|23.53
2012-05-29 13:27:00|S|103788|LNKD|ARCA||800|93.61
2012-05-29 13:27:01|B|104369|ZNGA|ARCA||2200|6.1
